Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,RCJ_318,RCJ_319,RCJ_322,RCJ_plus_DSS_301,RCJ_plus_DSS_305,RCJ_plus_DSS_313
k__(null)|p__(null)|c__(null)|o__(null)|f__(null)|g__(null)|s__(null),2.750656674,4.554712367,5.318140498,1.213570194,5.768337105,9.341237394,1.901286844,2.8606651,2.091308751,2.277213894,1.569448014,1.441895041
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides vulgatus,0.108950854,0.195173296,0.12240902,0.264490857,0.285418622,0.214753389,0.145677833,0.100138378,0.13981294,0.162582805,0.066060956,0.223792449
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella sp. CAG:1031,0.315087023,0.578960609,0.213462111,0.344488384,0.331786287,0.206547859,0.729757613,0.40316179,0.926977744,0.255544589,0.187621141,0.349097906
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminiclostridium|s__[Eubacterium] siraeum,0,0,0,0,0,0.09733971,0,0,0,0.076463254,0.056497268,0.068422325
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__(Clostridiales)|g__(Clostridiales)|s__(Clostridiales),13.27580411,4.708230378,9.683184219,4.039725897,2.205332153,4.653101562,4.374728433,7.386914628,4.337473052,9.739529517,12.73641961,7.623805825
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caccae,0,0,0,0,0.077656707,0.056615587,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__(Erysipelotrichaceae)|s__(Erysipelotrichaceae),0.068108431,0,0,0.13085126,0.062449471,0.162634124,0.053158493,0.123227052,0.084617258,0.081422588,0.138604025,0.119805948
k__Bacteria|p__(Bacteria)|c__(Bacteria)|o__(Bacteria)|f__(Bacteria)|g__(Bacteria)|s__(Bacteria),16.95949331,10.78256579,14.94277993,11.39327859,9.065868784,10.33807299,11.77869357,13.86003633,12.56171702,14.47076475,15.39330371,14.02448285
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__(Clostridium),0.753833112,1.193783758,0.827673061,2.597357633,0.828243891,2.457455998,0.639903143,1.12781073,0.531064869,0.629912551,0.707249903,0.870532614
k__Bacteria|p__(uncultured bacterium)|c__(uncultured bacterium)|o__(uncultured bacterium)|f__(uncultured bacterium)|g__(uncultured bacterium)|s__uncultured bacterium,0.065813971,0.084277741,0,0.113071745,0.078757637,0.064774816,0.176889735,0.094309619,0.294406119,0.061996816,0,0.084838539
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__(Betaproteobacteria)|f__(Betaproteobacteria)|g__(Betaproteobacteria)|s__(Betaproteobacteria),0.011755251,0.02005339,0.01019132,0.010258204,0.006065403,0.009100679,0.027111706,0.014641347,0.026947057,0.012820186,0.01008843,0.021900289
