Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Monoglobus,1405,424,861,502,503,426,440,713,395,771,383,653,324,1086,981,862,457
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales Family XVII. Incertae Sedis,875,406,446,282,282,252,425,395,483,875,332,551,419,936,827,637,559
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales Family XVI. Incertae Sedis,293,146,237,128,98,71,157,123,253,233,142,167,125,268,268,188,239
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae,23638,13458,17623,18359,10631,24362,9018,29939,11225,41856,13644,13555,11664,24317,22669,17531,11971
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae,15871,5030,8901,3617,2573,3414,4553,4233,3997,7304,3548,6500,3418,9197,12003,6524,4766
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae,11134,4225,7125,3824,2803,3609,4352,5059,3685,6816,3788,6099,3136,8674,9403,6176,4735
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae,4639,1659,2215,1360,1136,1193,1493,1762,1476,2798,1319,2617,1392,3932,4374,2780,1704
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Vallitaleaceae,854,323,740,310,162,290,274,396,187,448,222,342,186,618,659,369,286
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Heliobacteriaceae,592,254,308,181,207,201,297,261,304,517,273,402,275,678,640,478,334
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Symbiobacteriaceae,567,289,282,201,261,195,283,255,317,479,246,407,245,529,679,341,392
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Syntrophomonadaceae,473,372,537,270,187,296,333,437,316,435,276,475,218,544,495,415,435
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis,4403,2098,3788,2066,1362,1924,2048,2283,1444,2594,1565,2244,984,3190,2487,2508,2116
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae,2854,1400,1852,1353,966,1262,1182,1617,1447,2078,1216,1673,1028,2508,2336,1870,1458
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family IV. Incertae Sedis,495,285,274,428,251,297,202,457,150,350,168,295,109,400,409,327,228
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermodesulfobiaceae,228,129,136,192,101,129,116,231,118,120,115,131,92,96,102,103,134
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae,1080,695,1304,778,350,712,609,893,376,698,490,647,306,731,763,656,678
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae,370,195,385,294,148,275,222,379,156,307,197,218,126,243,273,248,250
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|g__Anoxybacter,289,225,325,178,226,158,196,292,153,284,207,241,129,301,265,260,266
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales|f__Tepidanaerobacteraceae,907,367,534,386,327,308,346,375,392,609,310,543,345,663,721,454,498
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales|f__Thermosediminibacteraceae,202,85,116,119,89,67,120,123,184,167,118,200,89,233,205,171,167
d__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales|f__Koleobacteraceae,262,139,226,129,191,110,128,173,134,313,170,271,106,431,384,216,170
d__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales|f__Natranaerobiaceae,110,67,159,125,94,153,113,186,92,178,117,160,54,192,172,139,106
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,212767,159272,86068,15512,65078,12118,53111,70771,68882,63219,30821,42470,23653,51130,30387,16486,45026
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,21060,7497,16019,8852,3921,5885,6950,6493,5336,8176,5339,9005,4867,9105,12484,7499,6941
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,20174,8845,14369,8489,5845,7032,8463,12462,6831,12346,6874,9423,5455,12672,13426,10887,9144
