Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Winogradskyella,870,729,943,961,508,590,722,989,763,971,687,752,574,833,1080,808,962
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aquimarina,843,660,1116,791,632,612,794,696,772,930,907,729,506,823,797,704,915
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides,811,486,569,511,419,417,552,687,811,649,654,554,610,616,568,540,827
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Muricauda,610,686,589,990,945,706,663,1231,1031,1155,683,886,791,1178,736,1080,857
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea,569,826,540,754,1120,565,591,1087,940,765,658,634,849,890,418,954,940
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga,569,508,911,496,512,508,555,730,651,669,584,561,393,688,483,590,665
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Antarcticibacterium,416,465,358,777,577,372,478,895,831,710,611,562,724,706,488,580,710
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium,8659,7557,9314,9267,7831,6103,7414,10268,9342,10001,8463,6940,7173,9413,7573,8876,9860
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Kaistella,766,618,696,642,649,541,642,907,851,849,705,581,563,856,650,638,752
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Planobacterium,544,871,719,753,860,550,620,711,685,712,430,549,489,975,401,963,687
