Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,13724,25269,21156,3862,25939,29123,5735,11099,4726,19755,4696,9134,3665,9453,4921,4397,6721
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales,12866,8796,11183,7994,7097,7176,8435,10063,10456,10897,9339,9370,7196,12300,9861,11215,11265
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales,9730,9853,9587,5329,8557,8718,5985,7606,7084,10367,6343,7903,5717,9122,6830,7143,8133
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,7883,6457,5183,5799,6082,4118,5279,7566,8929,8445,6614,7704,6985,8596,6133,8039,8894
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales,6797,4710,5937,4394,3608,3087,4885,5248,5386,5179,4557,5042,3572,5958,5071,4772,5813
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales,4623,3597,3249,2730,3547,2186,2974,3464,4113,4117,3148,3454,3551,4517,3414,3876,4578
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales,4497,3435,3043,3145,3034,2226,2983,3681,3762,4306,3618,4313,3635,5044,3925,4069,4161
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales,3867,2609,3836,2387,1829,2054,2575,3067,2615,3023,2751,2919,1783,3703,2917,3078,3114
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales,2810,2276,2080,2250,2188,1519,1912,2781,2956,2943,2309,2635,2335,3347,2820,2756,2924
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales,2595,1652,2723,1652,1323,1414,1751,1925,1825,2311,1991,1887,1196,2681,2428,1921,2085
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales,2088,1592,1506,1442,1447,1072,1377,1520,2072,2176,1614,2035,1641,2565,2067,2270,1786
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,131570,201887,59802,98841,39717,66490,86170,309267,281187,261674,315870,146499,311543,134890,60779,293764,221387
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales,6415,4941,4422,4373,4511,2999,4098,5215,6788,6132,5167,5582,4864,7427,5851,5727,7004
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales,3692,2751,2731,2196,2219,1788,2214,3102,3467,3204,2486,3082,2513,3888,2780,2877,3565
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales,2569,2081,1592,1661,1750,1194,1808,2325,2845,2540,2214,2618,2646,2921,2361,2509,2860
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales,34154,24969,22853,21881,22023,15695,21194,27934,30911,33163,26213,30365,27430,36659,27414,31118,33419
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales,11849,9475,7275,7583,7867,5494,7487,10980,13281,11830,10505,11826,12329,12059,8920,10599,13518
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales,11037,7609,6851,7085,7479,4669,6140,8808,9096,10983,7769,9796,8155,12370,9490,9803,10256
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales,9768,6683,6498,5800,5875,4304,6033,8281,8979,10171,7439,8858,7395,11173,8249,8342,9153
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales,2992,1759,3798,1561,1224,1460,2708,1967,1730,2746,2926,2845,1383,2793,2886,2539,2670
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales,2352,1663,1254,1496,1426,1029,1460,2341,2520,2728,2128,2380,2087,2682,2125,2255,2925
