Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella scopos,1065,2086,1505,1616,2342,1262,1489,1389,1666,1314,900,1115,921,1800,294,2093,1836
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella xylaniphila,8020,11535,7374,28226,17950,8393,10046,54318,22124,45728,13369,10425,20329,29474,12487,22486,14076
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella sp. E39,4246,6793,3940,6667,6761,4159,5269,8825,11627,5208,6562,5675,7504,7149,2359,6236,8681
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis,36539,42364,18317,140861,46522,31865,85526,121013,132254,87804,48134,29173,58646,53695,30357,71931,75258
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides goldsteinii,6578,15446,4938,18706,16077,9019,19497,29861,41506,29422,15772,16167,17358,23998,7032,25798,18822
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides sp. CT06,698,984,363,2371,820,605,1588,2336,2988,1661,1091,1188,1050,1028,543,1241,1483
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella sp. oral taxon HOT-286,4391,5933,2911,5196,5413,2564,3947,6312,8486,4486,5456,4687,7096,4506,2108,5484,8799
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella forsythia,2580,3225,1694,3700,3415,1995,2761,4631,5732,3861,3350,3799,4469,3581,2391,3448,4932
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter splanchnicus,6970,6005,8422,46351,36836,28116,11319,26112,11125,41847,7994,14825,10049,34842,38181,29144,11712
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas virosa,3713,4737,3869,30424,23397,13036,5654,19340,4649,23533,4120,5930,4556,14780,11787,10877,10669
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas faecalis,2133,3034,2459,9037,8410,6610,4026,9126,7590,9631,4506,4070,6074,8898,7486,7498,5605
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella viscericola,10147,13435,5431,12394,12563,4744,8326,17334,23574,10502,17634,11128,21630,10332,5784,11935,22079
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter sp. 2CBH44,3022,4771,3075,6633,6748,3327,4051,7185,6370,5880,3459,3662,3822,5656,2627,6115,5354
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas asaccharolytica,3497,4552,2199,4193,5745,1955,2864,4636,8034,3986,3167,2692,6217,5348,2942,4405,6265
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas gingivalis,2637,3299,1397,3065,2673,1600,2543,4283,5965,3226,3902,2838,5196,3221,1999,3492,5122
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas cangingivalis,1285,1959,1161,2271,2112,1280,1473,3183,3119,1893,1953,1723,2550,2178,1095,2111,2797
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas crevioricanis,891,1034,500,1413,1076,790,791,1844,1853,1421,1275,1131,1543,1253,1083,1039,1521
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Petrimonas|s__Petrimonas mucosa,2104,2714,1154,2317,2322,1342,1834,3326,4255,2249,2821,2377,3989,2467,1495,2312,3930
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Proteiniphilum|s__Proteiniphilum saccharofermentans,1896,2517,1367,2973,2515,1414,1761,3517,3777,2690,2557,2283,3283,2663,1356,2734,3715
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae|g__Paludibacter|s__Paludibacter propionicigenes,858,889,585,1538,1119,667,792,1603,1534,1400,968,894,1094,1309,862,1257,1280
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae|g__Tenuifilum|s__Tenuifilum thalassicum,471,592,327,713,648,497,390,1075,1327,659,638,557,902,726,522,877,1048
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae|g__Draconibacterium|s__Draconibacterium orientale,629,647,547,987,821,566,561,951,1082,937,525,630,733,834,704,949,1048
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae|g__Alkalitalea|s__Alkalitalea saponilacus,649,919,553,1227,1107,711,650,1822,1486,1184,817,724,1093,1264,889,1170,1459
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium album,544,644,410,724,775,481,434,720,931,720,548,552,580,821,574,740,817
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea|s__Robiginitalea biformata,569,826,540,754,1120,565,591,1087,940,765,658,634,849,890,418,954,940
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Planobacterium|s__Chryseobacterium taklimakanense,544,871,719,753,860,550,620,711,685,712,430,549,489,975,401,963,687
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Blattabacteriaceae|g__Blattabacterium|s__Blattabacterium cuenoti,1779,1195,1841,1817,1086,1235,1609,1963,1432,1906,1548,1370,935,1689,1461,1553,1613
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter busanensis,702,911,486,712,792,430,611,869,1340,722,928,760,1196,736,288,868,1309
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter sedentarius,557,804,436,618,859,500,530,783,1007,796,735,595,917,860,371,812,969
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter russatus,717,747,423,939,995,533,538,1251,1426,930,891,786,1092,987,623,1073,1293
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter actiniarum,646,619,399,627,459,268,463,771,1213,673,750,513,860,689,461,642,1286
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Rufibacter|s__Rufibacter radiotolerans,446,709,500,746,705,504,459,601,790,691,500,534,593,869,467,791,792
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Fibrella|s__Fibrella aestuarina,678,810,412,569,702,298,568,929,1106,727,757,749,1142,722,387,829,999
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Dyadobacter|s__Dyadobacter fermentans,604,706,365,819,741,421,519,825,1387,778,809,601,984,786,478,836,1082
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Chryseolinea|s__Chryseolinea soli,732,963,538,1106,1075,672,701,1204,1351,1005,1091,963,1355,930,580,970,1483
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Mucilaginibacter|s__Mucilaginibacter gotjawali,450,691,646,798,1036,621,583,622,637,713,353,543,299,825,351,971,714
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium spiritivorum,821,849,695,909,986,694,680,1288,1133,1046,706,837,796,1033,752,1244,973
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Anseongella|s__Anseongella ginsenosidimutans,472,571,382,614,596,395,447,827,836,579,521,526,660,745,356,783,721
d__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Chitinophaga|s__Chitinophaga pinensis,826,781,528,1126,869,621,643,1259,1636,1170,1023,971,1256,1224,1016,959,1279
d__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Haliscomenobacteraceae|g__Haliscomenobacter|s__Haliscomenobacter hydrossis,433,575,395,765,707,471,410,1011,662,722,572,599,813,817,404,785,654
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium sp. YL32,145619,36266,67452,9302,9029,13097,32956,14396,21005,42381,26489,53724,27607,63872,78710,42209,28120
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__[Clostridium] scindens,32297,9020,17351,4555,2590,4488,7780,4660,5935,12184,7290,11696,6671,21534,23923,12206,7258
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium phocaeense,32081,7676,17773,4207,2329,3616,7841,3997,5132,11102,5877,12535,6010,15982,18225,9696,6932
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__[Clostridium] hylemonae,11004,2938,5698,2375,1001,1725,3181,2159,2375,5005,2834,4634,2388,8359,8955,4679,2655
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium phytofermentans,5069,1395,3224,1362,517,1179,1294,1457,1056,1860,919,1635,858,2883,3315,1928,1246
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia producta,43664,10328,20333,4747,2548,5224,10742,5670,7410,13036,8468,13891,7822,18599,23399,12194,9230
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia sp. SC05B48,9003,2731,5745,2062,1149,1732,2653,1812,2097,4203,2197,4179,2062,7037,8246,4373,2557
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia sp. LZLJ-3,6856,1681,3702,1016,528,906,1630,1124,1320,2224,1233,2202,1139,3439,4356,2217,1404
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia argi,10460,2775,5373,2105,1080,1851,2589,2055,2282,4053,1833,3438,2102,6451,8098,3953,2746
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia obeum,9926,2523,5564,1897,782,1701,2476,1805,2115,3647,1704,3207,1711,6259,7319,3595,2435
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia hansenii,8862,2460,5316,1896,863,2011,2382,2549,2235,4140,1627,2951,1775,6787,7901,3584,2687
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae,74327,19831,34100,7747,7811,13004,18973,9383,12615,30327,17830,29066,15249,48865,48043,31591,16360
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster clostridioformis,16628,3943,7023,1625,841,1574,4007,1581,2434,4127,2609,5148,3075,6845,8500,4240,3713
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia intestinalis,44420,10776,22353,5288,3207,5249,9796,5826,7275,11727,5733,11882,6429,20312,25273,12422,9567
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia hominis,24008,6295,11853,3774,1875,3650,5672,3404,4504,8387,3971,8676,4174,13916,17832,9216,5704
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus catus,13601,2466,6228,1980,968,1574,2647,1735,2032,3431,1908,3498,1893,5731,6884,3423,2526
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus comes,11027,3172,7897,1780,1059,1685,3286,2234,2462,4173,2001,3940,1961,6781,7621,4189,2965
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus sp. ART55/1,8865,1714,4137,1151,767,1257,1864,1371,1429,2960,1577,3248,1511,5360,5670,4003,1653
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora saccharolytica,20949,6584,10938,3506,2108,3722,5768,4104,4662,8734,4674,8979,4660,13408,13743,7927,5695
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora sphenoides,6822,2028,3652,1275,660,1276,1808,1338,1492,2664,1415,2363,1474,4353,5030,2575,1897
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__[Ruminococcus] gnavus,17275,4127,9054,2665,1238,2557,4598,2665,3658,6906,4787,10084,4518,13443,16535,8616,4929
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__[Ruminococcus] torques,10025,2564,5149,1400,678,1394,2315,1457,1887,3331,1659,3235,1687,5239,6409,3313,2092
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio fibrisolvens,11843,3140,6523,2562,1724,2163,2897,2311,2158,4211,1945,3825,1911,7423,7239,4947,2944
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio proteoclasticus,4343,1025,2525,902,513,770,1078,957,1003,1623,897,1773,823,2830,3069,1821,1140
