"Control_328"	"Control_330"	"Control_327"	"DSS_334"	"DSS_339"	"RCE_322"	"RCE_318"	"RCE_319"	"RCE_plus_DSS_305"	"RCE_plus_DSS_313"	"RCE_plus_DSS_301"
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Altibacter"	2.03562390973072	1.87487122084621	1.93628383003857	2.06598839979186	1.51803746783252	2.30507369084054	2.28278296126076	1.77544248261568	1.43474778823256	1.30813326571817	1.54819970019301
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Kordia"	2.20685157044067	2.60282296645607	1.88937554339937	1.9208763401649	2.15466691401076	2.28957874148902	2.24592827348155	1.87005314339368	1.85948881707079	2.37245056333358	1.89462305410875
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Urechidicola"	2.13750352374994	2.18805852387169	1.78607076948491	1.75951910061162	1.89192073014194	1.37929259294679	1.78214061963739	1.91512913593243	1.52492000284476	1.36091056370456	1.51015618327992
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Tamlana"	2.02974734339405	2.32237040194713	1.75785935750132	2.20923817660449	2.16832825410992	1.83563780424623	2.21288956110557	1.81297624594438	1.25994643712337	1.60547927396209	1.62649267273115
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Seonamhaeicola"	1.67053823242723	1.92232769533429	1.74354404360526	2.51067194047044	1.88366305181985	1.50089400452879	1.80765527637328	1.63281043143706	1.79960809736524	2.22568917416573	2.06174642127491
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Amniculibacterium"	1.96347412397489	1.70887965558123	1.73392097285552	2.13341432156321	1.80713662626804	2.44685587675943	2.35378274080044	1.75354788325184	1.21063530552087	1.25335169237453	1.51015618327992
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aureitalea"	1.8073549220576	2.56967515466506	1.7144801003115	2.02137992979037	1.75376656652878	2.15923648746522	2.07785747089586	1.80235158425641	1.76016603794146	1.48157787911164	1.70557210143406
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Zobellia"	1.8073549220576	2.05066420833049	1.62880275139297	2.63854196714727	1.88366305181985	2.52832819468898	1.96333280205433	1.81297624594438	1.84878465464823	2.20108809991925	1.7850999207366
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Costertonia"	1.82102985895468	1.76201748544081	1.60788178471518	2.58699739667226	2.66399400478238	2.71390091984592	2.25523058432088	2.09565729187427	2.32488170509438	2.36508741651181	2.10249579799317
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Zunongwangia"	1.64769825606912	2.29558899945175	1.57592025629278	2.74035243636372	2.32290565477121	1.93857185900006	1.87557939860921	1.77544248261568	2.56615180450213	2.69373955484523	2.51298679682615
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gillisia"	2.01197264166608	1.8069598904183	1.51541918848303	1.82772391248596	1.57042486026632	2.08338748162908	1.98026067224557	1.46780642769757	1.25184407311548	0.923164347551752	1.59048399606698
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Leeuwenhoekiella"	2.30256277002043	1.6466625389475	1.51541918848303	3.04415284463468	2.68790319010085	1.91856421083094	1.88759286659649	1.63281043143706	1.42757229240827	1.77618865250133	1.67150693321316
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Euzebyella"	1.64769825606912	1.44208518587755	1.49277418238445	2.03426657141566	2.0552341834861	2.99116641476952	2.31871957361637	1.47451427813145	1.53830571525353	1.8359991749652	1.64165401996226
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Croceibacter"	1.35989594508638	1.81326745338247	1.48705695366729	2.57822470721126	2.34713182398029	1.47372806694514	1.97464008924312	1.94441590990835	1.93227339406398	2.25785134520224	1.7850999207366
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Wenyingzhuangia"	1.78659636189081	2.27745448410475	1.48131697808024	1.97534802545927	1.61100682125506	1.84273333086133	1.9969922204972	1.56528953560247	1.32317754496353	1.58026440499105	1.49909976626812
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gilvibacter"	1.93231319248843	1.28756992780908	1.44638910852722	2.50142110618932	2.58979292900538	2.14208346613142	1.61155664335486	1.75905276271924	2.11310865577824	2.0982610818434	2.08411591063717
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Oceanihabitans"	1.29278174922785	1.45827494804147	1.42262505353108	1.72018623975361	2.32900044242932	1.97777350212139	1.83272652635817	1.63879483929822	1.73713392682387	1.84131552044721	1.9845725738301
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Muriicola"	1.75844532157666	1.24153970211307	1.39846299220782	2.70048620436935	2.89927148291356	2.34059422345268	1.78214061963739	2.02886959303868	2.43632519424864	2.30863232868217	2.35332080466484
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flagellimonas"	1.90689059560852	1.60364198154527	1.39235871453717	1.9277988418511	2.4954003780842	1.61303790537424	1.53724381084563	1.55899163738554	1.25994643712337	1.92381600530094	1.8387094786821
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Lutibacter"	1.68556644165956	2.21212606076908	1.31701880849055	1.57781547633501	1.39561693984882	1.40827789820866	1.58228922877353	1.75905276271924	1.37631897530651	1.50186262591257	1.3032570446586
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Sediminicola"	1.38773015328311	1.12467813687731	1.22384151359897	1.72813906789257	1.4300476975311	1.35964038999592	1.09443888713104	1.20285590606829	1.20225039626322	1.25335169237453	1.20461596947048
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mesoflavibacter"	1.36923380966572	1.93395184959574	1.21002526909804	2.52899753423605	2.10580701108027	1.81413940507939	1.64732523188594	1.31921780086425	1.49777012693993	1.77618865250133	1.7850999207366
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Siansivirga"	1.36923380966572	1.63246441681712	1.14616056995473	2.34472215073573	2.35312533117081	1.02734899821542	1.49074648015627	1.32665147753114	1.77720198397936	2.01131717019497	1.73414398841261
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroserpens"	1.22239242133645	1.55177420373582	1.14616056995473	0.93404895325539	0.398054023311246	0.611584726564244	1.14535766944122	0.717674656112094	0.797154822335333	0.753076385669508	0.715020517033039
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Galbibacter"	1	1.39239641612841	1.1019573479008	1.41984114798228	1.08586209483535	1.00221977520135	0.975659039119541	0.794738851527645	0.86246648388754	0.902968104794566	0.553398529690972
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Changchengzhania"	1.85466063683596	1.48222395626787	1.08691676129514	1.35968129105365	1.28710155723502	1.47372806694514	1.48284911456584	1.41299035745759	1.40582915571958	1.0752977960968	1.3159139553555
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium"	6.98811658476014	7.16789986933097	6.60555821933305	7.40749122198551	7.3826315804896	6.99129113748093	7.03164276167794	6.49921858385636	6.68047301140848	6.88251573754935	6.69135938802927
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Kaistella"	3.49825086752783	3.54482599893812	3.25188253072541	3.66590415311626	3.88235814828053	3.44726326155353	3.562674141938	3.08566764364952	3.28064875602694	3.23405993193582	3.36559199334689
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Planobacterium"	3.95574676195028	3.58777068953939	2.81866131008858	3.87912723784506	4.26427215486107	3.26384079061391	2.92543256864867	3.01380721645254	2.67316992393591	3.77534178455299	3.5361981274734
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Epilithonimonas"	2.45505317812672	2.91582098966688	2.46150600560397	3.52920920642425	3.51635595822861	2.36050579687616	2.54795281874713	2.32822250812921	3.00985157033348	2.65803261435744	2.62402401261973
