Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Synergistetes|c__Synergistia,1165,1321,2284,788,727,980,1008,1368,2399,1652,2498
d__Bacteria|p__Deferribacteres|c__Deferribacteres,860,2163,1280,808,643,630,1532,2052,2353,1282,3064
d__Bacteria|p__Aquificae|c__Aquificae,564,1232,869,621,408,367,629,839,1222,855,1259
d__Bacteria|p__Candidatus Saccharibacteria|g__Candidatus Saccharimonas,589,267,241,608,612,219,344,983,168,1313,1223
d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharimonia,505,198,205,412,479,175,238,743,118,978,774
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria,272,523,604,306,175,291,335,304,437,445,526
d__Bacteria|p__Nitrospirae|c__Nitrospira,274,311,464,383,291,296,306,357,438,384,447
d__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia,138,171,136,136,186,102,148,253,251,305,355
d__Bacteria|p__Elusimicrobia|c__Endomicrobia,92,112,227,120,123,75,154,191,244,243,325
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia,59,80,86,98,92,31,75,66,98,79,89
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia,177,453,236,179,92,151,216,217,131,157,146
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes,114,152,189,125,145,94,91,148,151,204,227
d__Bacteria|p__Calditrichaeota|c__Calditrichae,145,208,179,232,221,137,161,205,250,236,355
d__Eukaryota|k__Metazoa|p__Chordata,1454624,1532525,776656,46187,1192949,230554,441089,485311,131356,181101,361101
d__Archaea|p__Euryarchaeota|c__Methanomicrobia,1468,2549,2567,1360,1236,1000,1411,1409,1814,1734,2187
d__Archaea|p__Euryarchaeota|c__Halobacteria,1591,1468,2284,1388,1290,1618,1473,1663,1676,1706,1858
d__Archaea|p__Euryarchaeota|c__Methanobacteria,1053,2666,2024,808,544,714,1363,939,626,1004,808
d__Archaea|p__Euryarchaeota|c__Methanococci,574,1422,1268,331,209,367,738,602,604,561,513
d__Archaea|p__Euryarchaeota|c__Thermococci,689,793,812,644,597,313,505,576,606,785,844
d__Archaea|p__Euryarchaeota|c__Archaeoglobi,83,208,195,70,67,73,114,87,198,130,173
d__Archaea|p__Crenarchaeota|c__Thermoprotei,878,2269,1567,514,464,496,1139,713,547,868,798
d__Archaea|p__Thaumarchaeota|o__Nitrosopumilales,299,774,451,170,198,159,339,212,145,270,217
d__Archaea|p__Thaumarchaeota|c__Nitrososphaeria,168,435,306,101,74,95,223,146,136,142,175
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata,315,388,309,257,287,147,186,188,178,320,345
d__Archaea|p__Candidatus Lokiarchaeota|g__Candidatus Prometheoarchaeum,89,158,102,95,40,40,129,104,96,92,152
d__Viruses|p__Uroviricota|c__Caudoviricetes,978,1922,2163,636,603,592,924,972,838,856,925
d__Viruses|p__Peploviricota|c__Herviviricetes,92,250,133,18,16,58,102,83,42,69,55
d__Viruses|k__Pararnavirae|p__Artverviricota,3329,2438,1291,6,2644,227,209,767,136,42,542
d__Viruses|k__Orthornavirae|p__Pisuviricota,76,138,125,11,20,27,162,18,30,85,65
d__Viruses|k__Bamfordvirae|p__Nucleocytoviricota,680,1953,1045,155,136,387,975,586,211,435,248
d__Viruses|f__Baculoviridae|g__Alphabaculovirus,331,427,224,224,279,47,138,144,36,292,195
