#SampleID	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	3.50181	2.89111	7.05505	56.91103	29.14363	30.36064	10.79012	21.13109	3.52508	29.49995	6.82399	13.57786	15.08193	22.83475	24.68094	34.31817	9.6754
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified	3.50181	2.89111	7.05505	56.91103	29.14363	30.36064	10.79012	21.13109	3.52508	29.49995	6.82399	13.57786	15.08193	22.83475	24.68094	34.31817	9.6754
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	4.12494	7.39144	1.79977	17.2784	4.68418	4.9372	19.6046	21.46071	27.93558	12.05019	11.20557	4.23321	26.06254	8.43239	2.66887	14.5057	14.55097
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.00248	0	0	0	0.00221	0	0.00412	0	0.00377	0	0	0	0.00756	0	0.00187	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis|t__Parabacteroides_distasonis_unclassified	0.00248	0	0	0	0.00221	0	0.00412	0	0.00377	0	0	0	0.00756	0	0.00187	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae	0	0.17741	0	0.04769	0.21347	0.27711	0.33808	1.11983	0.672	0.82911	0.38604	0.10559	1.07426	0.41561	0.02257	0.59675	0.20058
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__Parabacteroides_merdae_unclassified	0	0.17741	0	0.04769	0.21347	0.27711	0.33808	1.11983	0.672	0.82911	0.38604	0.10559	1.07426	0.41561	0.02257	0.59675	0.20058
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	4.12247	7.21402	1.79977	17.23071	4.4685	4.66009	19.2624	20.34088	27.2598	11.22108	10.81953	4.12763	24.98072	8.01678	2.64443	13.90895	14.35039
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	3.43425	3.75737	2.1361	2.97999	14.72055	12.67523	7.31566	9.31052	5.757	15.30099	16.02924	18.78305	7.86694	3.93281	2.48873	15.62651	9.28457
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	3.43425	3.75737	2.1361	2.97999	14.72055	12.67523	7.31566	9.31052	5.757	15.30099	16.02924	18.78305	7.86694	3.93281	2.48873	15.62651	9.28457
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0	0	0	2.39714	0	0	0	1.04069	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus|t__GCF_000231275	0	0	0	2.39714	0	0	0	1.04069	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0	0	0	0	0	0	0	0.03923	0	0	0	0	0	0	0	0	0.00794
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__GCF_000154465	0	0	0	0	0	0	0	0.03923	0	0	0	0	0	0	0	0	0.00794
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified	3.43425	3.75737	2.1361	0.58285	14.72055	12.67523	7.31566	8.23061	5.757	15.30099	16.02924	18.78305	7.86694	3.93281	2.48873	15.62651	9.27663
k__Bacteria|p__Deferribacteres	7.91727	11.14267	35.38235	7.84797	4.86037	12.75404	22.80597	2.50518	12.89837	10.61454	36.7648	39.33866	8.55203	40.65771	26.8612	20.49905	25.4983
k__Bacteria|p__Deferribacteres|c__Deferribacteres	7.91727	11.14267	35.38235	7.84797	4.86037	12.75404	22.80597	2.50518	12.89837	10.61454	36.7648	39.33866	8.55203	40.65771	26.8612	20.49905	25.4983
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	7.91727	11.14267	35.38235	7.84797	4.86037	12.75404	22.80597	2.50518	12.89837	10.61454	36.7648	39.33866	8.55203	40.65771	26.8612	20.49905	25.4983
