feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
2.7.7.13-RXN,DSS_only,TRUE,0.7336840347299101,0.10181969658738699,12,12,0.000176576684979218,0.0107350091202723
3.6.3.1-RXN,DSS_only,TRUE,-1.4745637108856002,0.205512183110175,12,9,0.00018134903146856698,0.0109207350470191
BTUR2-RXN,DSS_only,TRUE,0.9258254513689399,0.129218418391559,12,12,0.00018297832706433602,0.0109937217898221
RXN-19335,DSS_only,TRUE,0.9258254513689399,0.129218418391559,12,12,0.00018297832706433602,0.0109937217898221
RXN-19368,DSS_only,TRUE,0.9258254513689399,0.129218418391559,12,12,0.00018297832706433602,0.0109937217898221
RXN-19369,DSS_only,TRUE,0.9258254513689399,0.129218418391559,12,12,0.00018297832706433602,0.0109937217898221
RXN-19339,DSS_only,TRUE,0.927338589854963,0.13009252644900698,12,12,0.000188913133313506,0.0112667921002323
3.5.1.98-RXN,DSS_only,TRUE,-1.3423834172664397,0.19500561866386398,12,11,0.000234720071685046,0.0133059386952431
NADH-PEROXIDASE-RXN,DSS_only,TRUE,0.6207839056791651,0.0914079855063371,12,12,0.00025520505093378,0.0140882813450002
PROPIONYL-COA-CARBOXY-RXN,DSS_only,TRUE,0.4993008583299571,0.0741812882574351,12,12,0.000269702773930203,0.0147879069343707
RXN1G-4355,DSS_only,TRUE,0.4993008583299571,0.0741812882574351,12,12,0.000269702773930203,0.0147879069343707
3.2.1.55-RXN,RCEwDSS_only,TRUE,0.643613121552636,0.0964048146525106,12,12,0.000283595071290201,0.0150363687431308
3.4.13.18-RXN,DSS_only,TRUE,0.762616716635336,0.11450293873319,12,12,0.00028778899790191,0.0150363687431308
RXN-19757,RCEwDSS_only,TRUE,0.643613121552636,0.0964048146525106,12,12,0.000283595071290201,0.0150363687431308
RXN-19758,RCEwDSS_only,TRUE,0.643613121552636,0.0964048146525106,12,12,0.000283595071290201,0.0150363687431308
RXN-19769,RCEwDSS_only,TRUE,0.643613121552636,0.0964048146525106,12,12,0.000283595071290201,0.0150363687431308
RXN0-6974,DSS_only,TRUE,0.762616716635336,0.11450293873319,12,12,0.00028778899790191,0.0150363687431308
RXN0-6975,DSS_only,TRUE,0.762616716635336,0.11450293873319,12,12,0.00028778899790191,0.0150363687431308
RXN0-6976,DSS_only,TRUE,0.762616716635336,0.11450293873319,12,12,0.00028778899790191,0.0150363687431308
RXN0-6977,DSS_only,TRUE,0.762616716635336,0.11450293873319,12,12,0.00028778899790191,0.0150363687431308
RXN0-6978,DSS_only,TRUE,0.762616716635336,0.11450293873319,12,12,0.00028778899790191,0.0150363687431308
RXN0-6979,DSS_only,TRUE,0.762616716635336,0.11450293873319,12,12,0.00028778899790191,0.0150363687431308
RXN0-6980,DSS_only,TRUE,0.762616716635336,0.11450293873319,12,12,0.00028778899790191,0.0150363687431308
