Sample_ID,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
X719,0.0,0.0,0.0,0.0,0.23936500000000002,0.0,2.80399,0.0,6.48999,1.3938,0.198431,0.0,0.462821,0.6334310000000001,0.660583,0.12181199999999999,2.02337
X720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376479999999999,0.0,0.0
X722,0.0,0.0,0.0,0.0,8.3761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25068,0.0,1.02359,0.0,0.0,0.590302,0.0,0.81276,0.0
X724,0.0,0.0,0.0,1.8189400000000002,0.0,0.0,0.0,0.458057,0.0,0.538416,0.0,1.03376,1.4389100000000001,1.06623,3.35676,1.8740700000000001,0.79664
X725,0.0,0.773036,0.0,0.0,0.0,1.21764,1.66156,0.799559,0.0,1.94022,0.629217,0.7730560000000001,0.0,0.0,1.5154,0.0,0.410671
X726,0.0,1.21049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599961,0.0,3.93698,0.0,0.0,0.0,0.6859850000000001
X727,2.65053,2.02888,0.6031920000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X728,3.6102199999999995,3.4049300000000002,1.25651,0.0,0.0,0.0,0.8606739999999999,0.0,2.0038099999999996,0.524311,0.0,1.2429,0.0,1.02231,0.0,0.0,1.26325
X729,0.8433139999999999,1.1236700000000002,0.0,0.0,1.8925599999999998,0.0,0.0,0.775246,0.0,0.0,0.649104,0.0,0.0,0.0,0.0,0.0,0.0
X730,1.35379,0.826241,0.653655,0.0,0.0,0.0,0.6021479999999999,0.717152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X731,16.7196,11.7707,8.62515,0.0,0.0,0.0,10.1245,0.0,10.552,0.0,6.14541,4.59829,3.9005900000000002,0.0,0.0,0.0,11.5183
X732,2.1905900000000003,7.95326,1.4119700000000002,7.28402,3.165,0.0,6.88093,1.7949,19.7706,1.11871,22.3838,3.37039,22.8702,4.5797300000000005,1.49339,0.818372,9.65347
X733,0.853858,0.5913229999999999,0.348916,6.988410000000001,1.0687799999999998,1.08172,2.83601,4.6352400000000005,4.9654,2.12098,1.46564,0.6684829999999999,2.92777,2.05467,1.01444,1.7668099999999998,2.31249
X734,4.473380000000001,1.85076,0.803559,4.87399,2.24936,0.0,4.54164,0.0,13.5629,0.47451499999999996,7.86875,8.699869999999999,4.74545,2.9736700000000003,2.2986299999999997,5.68246,6.0229099999999995
X735,205.83599999999998,179.86599999999999,122.789,369.245,208.46099999999998,181.21,182.36700000000002,318.66,300.857,247.954,203.864,269.677,267.91200000000003,301.428,270.83799999999997,297.116,253.007
X736,10.2269,7.565060000000001,5.62061,7.19751,38.3695,5.78136,11.8061,23.7377,14.2205,10.9815,7.24909,5.15498,7.106510000000001,8.030289999999999,3.74999,5.175590000000001,10.5126
X737,0.0,0.0,0.0,0.0,11.4083,0.0,0.0,1.23807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X738,6.81147,2.75944,2.50028,4.4638800000000005,5.44321,0.676147,6.72273,4.77705,3.1461,2.5928,2.13148,1.9732,2.0632,2.25869,2.59186,1.40866,6.22797
X739,183.05700000000002,155.12,107.104,174.232,116.73100000000001,91.1627,172.399,189.438,235.86599999999999,176.16099999999997,189.243,163.349,140.736,182.16099999999997,192.304,127.48299999999999,167.483
X740,0.0,0.0,0.0,1.34481,5.28448,1.29344,0.0,2.78393,0.8567309999999999,3.24916,0.0,0.0,0.0,0.792917,1.30411,3.25582,0.6601130000000001
X741,0.8322799999999999,0.0,0.667381,0.0,0.0,0.0,0.591042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X742,0.0,0.932464,0.870625,9.44365,33.7271,4.54605,3.18011,26.9131,4.74478,28.6034,2.3747,2.0583400000000003,0.0,3.9736,8.84985,3.80229,2.44191
X743,0.527533,0.45682399999999995,0.0,14.2839,7.68927,5.9275,2.4245900000000002,14.8459,10.3384,8.83329,2.9946099999999998,0.0,0.602337,4.61324,3.14988,6.19795,2.48265
X744,0.0,0.0,0.0,0.0,0.298388,0.0,2.204,0.0,4.656280000000001,0.9012959999999999,0.0,0.0,0.440658,0.46274799999999994,0.0,0.0,0.850727
X745,0.0,0.0,0.0,0.0,0.320194,0.0,2.98962,0.0,5.68125,0.836266,0.0,0.0,0.763544,0.5419930000000001,0.0,0.0,1.20764
X746,0.0,0.0,0.0,0.0,7.945860000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04321,0.533899,0.658763,0.0,0.0,0.43125,0.0,1.27673,0.0
X748,1.09794,0.6150680000000001,0.678244,0.0,0.0,0.709178,0.544514,0.0,0.0,0.47156899999999996,0.0,0.559561,0.0,0.0,1.90314,0.45233599999999996,0.0
X749,0.0,0.0,0.0,10.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279931
X750,0.0,0.0,0.0,2.8105900000000004,0.0,0.0,0.0,0.913867,0.0,0.0,0.0,0.0,0.0,2.5478099999999997,9.31006,0.0,1.27911
X751,25.9469,40.9797,29.7319,29.9219,5.5974900000000005,13.7557,46.6899,23.7865,13.0412,35.4545,31.1091,26.7391,11.8919,22.9162,44.818999999999996,19.6311,26.7571
X752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.635281,0.0,0.0,1.63457,0.0,0.956037
X753,0.0,0.6493939999999999,0.408329,0.0,0.0,0.699019,1.17696,0.542416,0.0,1.6831900000000002,0.0,0.0,0.0,0.0,1.02659,0.0,0.0
X754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15172,0.0,4.07532,0.0,0.0,0.0,0.0
X755,2.8597799999999998,1.7932599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X756,2.8723400000000003,2.13289,0.911071,0.0,0.0,0.0,1.0534700000000001,0.0,2.51468,0.0,0.0,0.863527,0.0,1.0405200000000001,0.596073,0.0,0.0
X757,0.647171,0.9927450000000001,0.0,0.0,1.57685,0.0,0.0,0.9161459999999999,0.0,0.785719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
