Taxon	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes sp. dk3624	4.467197535	5.008986781	4.450322408	5.696661647	6.155821294	5.78608974	5.466522029	5.608623276	5.826557401	5.622075484	5.70611574	6.094769823	5.915552298	5.012519251	4.542353191	5.448720321	5.571977963
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri	6.171642303	7.745850836	7.11667864	7.608910305	8.547730226	7.52742278	7.246940716	6.850024234	7.008236552	6.520024206	6.016356077	6.433984408	6.049797317	6.760320105	3.988930922	7.388988058	7.097040288
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella dentalis	5.999427447	7.25453982	6.437234355	7.083385539	7.880333042	6.798124691	6.783722375	6.636445211	7.285589136	6.111194926	6.812407274	6.466511987	7.19172032	6.275310087	4.526918573	6.852544015	7.133272876
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella intermedia	5.875044492	7.244387976	6.52616404	7.254153618	8.049439118	7.086468287	6.82173385	6.696055006	7.075193308	6.298200811	6.26694814	6.2579078	6.527990862	6.401114512	4.874564584	6.895662702	6.906488783
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella denticola	5.713533824	7.128788235	6.401326671	7.03039142	7.840836388	6.819422655	6.636799961	6.541613202	6.932428054	5.979870191	6.179805814	6.12429413	6.493037095	6.185132545	4.196511525	6.74786622	6.833930315
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella ruminicola	5.407637053	6.765639535	6.053187302	6.589618091	7.50687837	6.439727751	6.315903578	6.04025909	6.478041193	5.6015483	5.698375946	5.722505883	5.768198014	5.854735082	3.889301856	6.376756025	6.335738714
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella sp. WR041	4.383831801	5.744298821	5.072864806	5.51004116	6.455004857	5.462982354	5.236839954	5.050921763	5.571417115	4.582230372	4.964511874	4.556615933	5.337791954	4.674209112	2.906814711	5.298232823	5.491639871
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella sp. oral taxon 299	3.79003713	5.116664464	4.513904143	5.063573621	5.867870767	4.867901155	4.729395808	4.655821244	4.930953907	4.194924423	4.058687029	4.285172451	4.338391715	4.36691185	2.50810731	4.885208851	4.766512198
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oris	4.75120128	6.139441221	5.50200388	5.906524991	6.822882926	5.799777515	5.696348617	5.378020533	5.754252566	5.003753714	4.978384033	5.078817848	5.197247855	5.229450512	2.955141913	5.763427328	5.627648586
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella fusca	4.583077049	5.994858829	5.198056074	5.841909763	6.583820217	5.654108431	5.507672777	5.432038255	5.786416952	4.81914325	5.144810596	4.887523126	5.572281098	5.015915439	3.181107391	5.510504866	5.591903265
