,clade_name,Start,RCJ_plus_DSS,RCJ_plus_DSS,RCJ_plus_DSS,RCJ,RCJ,RCJ,RCJ_plus_DSS,RCJ,DSS,Control,DSS,DSS,DSS,Control,Control,Control
34,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_timonensis,0.05287,0.89066,0.15089,0.04498,0.05277,0.07465,0.0347,0.35201,0.02659,0.25651,0.00435,0.18844,0.8002600000000001,0.10496,0.0,0.0,0.0
35,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae,0.5716399999999999,1.01496,0.2068,0.46713,0.57694,0.19493,0.25672,0.5091100000000001,0.8452200000000001,0.89125,0.73997,0.5353100000000001,0.33474,2.16395,0.11999,0.22378,0.23428
36,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides,0.5716399999999999,1.01496,0.2068,0.46713,0.57694,0.19493,0.25672,0.5091100000000001,0.8452200000000001,0.89125,0.73997,0.5353100000000001,0.33474,2.16395,0.11999,0.22378,0.23428
37,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,0.5716399999999999,1.01496,0.2068,0.46713,0.57694,0.19493,0.25672,0.5091100000000001,0.8452200000000001,0.89125,0.73997,0.5353100000000001,0.33474,2.16395,0.11999,0.22378,0.23428
38,k__Bacteria|p__Deferribacteres,0.6755,1.21505,1.41005,3.10623,0.19712,1.7425700000000002,0.7943100000000001,0.5122800000000001,0.30628,0.08196,0.56224,1.17341,0.33259,0.60788,1.66727,0.3059699999999999,0.32876
39,k__Bacteria|p__Deferribacteres|c__Deferribacteres,0.6755,1.21505,1.41005,3.10623,0.19712,1.7425700000000002,0.7943100000000001,0.5122800000000001,0.30628,0.08196,0.56224,1.17341,0.33259,0.60788,1.66727,0.3059699999999999,0.32876
40,k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales,0.6755,1.21505,1.41005,3.10623,0.19712,1.7425700000000002,0.7943100000000001,0.5122800000000001,0.30628,0.08196,0.56224,1.17341,0.33259,0.60788,1.66727,0.3059699999999999,0.32876
41,k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae,0.6755,1.21505,1.41005,3.10623,0.19712,1.7425700000000002,0.7943100000000001,0.5122800000000001,0.30628,0.08196,0.56224,1.17341,0.33259,0.60788,1.66727,0.3059699999999999,0.32876
42,k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum,0.6755,1.21505,1.41005,3.10623,0.19712,1.7425700000000002,0.7943100000000001,0.5122800000000001,0.30628,0.08196,0.56224,1.17341,0.33259,0.60788,1.66727,0.3059699999999999,0.32876
43,k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum|s__Mucispirillum_schaedleri,0.6755,1.21505,1.41005,3.10623,0.19712,1.7425700000000002,0.7943100000000001,0.5122800000000001,0.30628,0.08196,0.56224,1.17341,0.33259,0.60788,1.66727,0.3059699999999999,0.32876
44,k__Bacteria|p__Firmicutes,5.2581,5.15998,4.851380000000001,5.2773699999999995,6.99211,5.24528,4.67371,7.185219999999999,5.69935,4.45447,5.253830000000001,7.21385,5.52259,1.5921299999999998,8.5643,9.06008,13.14696
45,k__Bacteria|p__Firmicutes|c__Bacilli,1.83779,0.36703,0.81663,2.78887,1.38762,2.01008,0.98391,2.37226,2.64967,2.69821,2.22307,0.4385699999999999,4.81789,0.49818,4.21165,6.2112,9.51645
46,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,1.83779,0.36703,0.81663,2.78887,1.38762,2.01008,0.98391,2.37226,2.64967,2.69821,2.22307,0.4385699999999999,4.81789,0.49818,4.21165,6.2112,9.51645
47,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00802,0.0,0.0,0.0,0.0
48,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00802,0.0,0.0,0.0,0.0
49,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gallinarum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00802,0.0,0.0,0.0,0.0
50,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,1.83779,0.36703,0.81663,2.78887,1.38762,2.01008,0.98391,2.37226,2.64967,2.69821,2.22307,0.4385699999999999,4.80987,0.49818,4.21165,6.2112,9.51645
51,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,1.83779,0.36703,0.81663,2.78887,1.38762,2.01008,0.98391,2.37226,2.64967,2.69821,2.22307,0.4385699999999999,4.80987,0.49818,4.21165,6.2112,9.51645
52,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_intestinalis,0.0,0.0,0.0,0.0,0.0,0.03173,0.0,0.0,0.0226099999999999,0.0,0.0396,0.0,0.0,0.0,0.25839,0.42616,0.8825700000000001
53,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii,1.08514,0.05142,0.57568,1.82133,1.03821,1.24069,0.36579,0.58277,1.72563,0.73868,1.21543,0.0,0.68278,0.0,1.64895,3.02385,4.88455
