Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae,5030,8901,15871,3617,2573,3418,3548,6500,12003,6524,9197
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae,4225,7125,11134,3824,2803,3136,3788,6099,9403,6176,8674
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae,1659,2215,4639,1360,1136,1392,1319,2617,4374,2780,3932
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Vallitaleaceae,323,740,854,310,162,186,222,342,659,369,618
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Heliobacteriaceae,254,308,592,181,207,275,273,402,640,478,678
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Symbiobacteriaceae,289,282,567,201,261,245,246,407,679,341,529
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Syntrophomonadaceae,372,537,473,270,187,218,276,475,495,415,544
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis,2098,3788,4403,2066,1362,984,1565,2244,2487,2508,3190
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae,1400,1852,2854,1353,966,1028,1216,1673,2336,1870,2508
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family IV. Incertae Sedis,285,274,495,428,251,109,168,295,409,327,400
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermodesulfobiaceae,129,136,228,192,101,92,115,131,102,103,96
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae,695,1304,1080,778,350,306,490,647,763,656,731
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae,195,385,370,294,148,126,197,218,273,248,243
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|g__Anoxybacter,225,325,289,178,226,129,207,241,265,260,301
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales|f__Tepidanaerobacteraceae,367,534,907,386,327,345,310,543,721,454,663
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales|f__Thermosediminibacteraceae,85,116,202,119,89,89,118,200,205,171,233
d__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales|f__Koleobacteraceae,139,226,262,129,191,106,170,271,384,216,431
d__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales|f__Natranaerobiaceae,67,159,110,125,94,54,117,160,172,139,192
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,159272,86068,212767,15512,65078,23653,30821,42470,30387,16486,51130
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,7497,16019,21060,8852,3921,4867,5339,9005,12484,7499,9105
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,8845,14369,20174,8489,5845,5455,6874,9423,13426,10887,12672
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,1197,2122,2576,1507,830,654,1099,1361,1769,1384,1794
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,401,565,702,445,168,286,343,534,746,420,548
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae,23404,40214,48308,23896,15453,15551,22947,27875,37049,28517,35208
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae,15316,21940,35119,15184,11122,14833,15556,21961,32618,23034,32210
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,8214,12963,11013,7657,5399,3819,6628,6629,8044,6376,6807
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae,2956,4964,6617,3343,2483,1951,2711,3786,5345,3911,5019
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Exiguobacterium,2558,2239,1707,544,2029,595,568,1050,627,634,1042
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Gemella,599,877,775,940,313,335,557,765,1010,736,581
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae,962,1058,2128,998,856,1461,1298,1682,2026,1549,2050
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae,995,1631,1980,1419,739,618,861,1264,1868,1088,1501
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae,623,654,1179,647,428,595,604,819,1412,888,1290
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Sporolactobacillaceae,81,105,199,81,45,130,147,200,232,113,193
d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,7357,12009,22257,19613,3486,16183,24210,15136,17907,38664,26750
d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae,297,523,843,7427,1147,2689,3839,3559,4694,3942,5588
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae,2340,3195,5532,2424,1801,2334,2399,3452,4841,3371,4726
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Sporomusaceae,718,1263,1727,575,524,668,714,1006,1487,873,1324
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae,1487,2300,3058,1470,1269,1454,1799,2603,2971,2257,3007
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae,1364,1715,2822,1059,758,1107,953,1555,2945,1932,2682
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae,1909,3296,3160,2913,1530,896,1555,2078,2450,2156,2621
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Tissierellaceae,1143,1796,1785,1540,970,795,955,1234,1495,1390,1608
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Gottschalkiaceae,303,612,455,503,196,110,213,314,251,249,278
d__Bacteria|p__Firmicutes|c__Tissierellia|g__Sedimentibacter|s__Sedimentibacter sp. zth1,369,578,917,681,221,139,229,324,525,403,421
d__Bacteria|p__Firmicutes|c__Tissierellia|g__Ezakiella|s__Ezakiella massiliensis,124,191,156,84,79,68,132,191,277,141,190
d__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales|f__Limnochordaceae,90,132,242,74,77,158,155,179,347,218,325
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae,635527,463461,246698,7117,535363,69115,45233,192792,37308,16104,128272
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae,3889,3620,5567,3308,3055,3921,3622,4774,5160,4866,6114
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Brevibacteriaceae,726,519,845,548,454,584,688,893,749,819,981
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermabacteraceae,481,443,734,417,451,579,623,727,651,623,883
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Cellulomonadaceae,438,380,697,292,356,554,576,748,570,502,683
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Ornithinimicrobiaceae,320,390,578,327,320,350,302,469,508,489,559
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae,496,427,575,358,476,537,471,553,501,666,736
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Intrasporangiaceae,339,286,489,373,447,460,337,441,378,503,535
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Ruaniaceae,144,115,322,111,136,217,168,162,215,201,277
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermatophilaceae,224,157,295,77,66,187,233,186,194,147,193
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermacoccaceae,280,214,253,282,314,207,168,270,262,323,396
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Bogoriellaceae,115,155,196,77,72,138,119,197,180,156,245
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae,98,109,155,48,39,122,152,176,163,110,200
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Beutenbergiaceae,86,59,93,73,72,99,82,156,111,90,106
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Kytococcaceae,56,42,88,67,76,110,50,48,79,98,96
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae,28943,12741,46131,8170,16089,34435,38610,19150,13358,25259,16611
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae,4645,3943,7164,3571,3767,5642,5471,6668,5745,5740,7077
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae,4805,4512,6469,4038,4431,5153,4950,5913,5536,5918,6857
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae,2761,2301,3786,2328,2526,3164,2827,3036,3264,3382,3948
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae,773,550,910,655,585,917,625,800,624,859,950
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Dietziaceae,168,123,197,97,146,386,246,197,214,209,271
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|g__Tomitella,117,111,194,97,65,109,130,173,117,118,139
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Tsukamurellaceae,109,88,148,69,74,80,74,93,114,89,133
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Segniliparaceae,25,41,73,49,18,183,192,77,69,35,85
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae,11885,11478,19062,9518,10482,11949,11982,15954,17194,15578,20177
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae,2035,1840,3018,1856,1877,2301,2162,2481,2793,2617,3291
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae,1750,2032,2638,1325,1704,1767,2049,2458,2140,2427,2845
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Kribbellaceae,89,77,161,75,121,138,147,191,123,121,155
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Actinopolymorphaceae,106,46,87,48,78,65,114,85,80,60,82
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae,3002,2885,4546,2175,2270,2872,2756,3614,4082,3590,4712
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales|f__Pseudonocardiaceae,2526,2319,3736,2060,2190,2626,2870,3557,3295,3441,3889
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales|f__Micromonosporaceae,2333,2423,3659,2037,2327,2354,2439,3350,3422,3545,4062
