Treatment_Group	Control	Control	Control	DSS	DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS
Taxa	Control_328	Control_330	Control_327	DSS_334	DSS_339	RCE_322	RCE_318	RCE_319	RCE_plus_DSS_305	RCE_plus_DSS_313	RCE_plus_DSS_301
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Formosa	3.35520425	3.851042697	3.596608369	3.857537872	3.596856848	3.435578145	3.5570436	3.401195444	3.714204422	3.285670359	3.404627885
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aequorivita	3.758445322	3.416056675	3.556225852	4.196796541	4.410824703	3.682952887	3.35122357	3.300977621	3.561965257	3.813711044	3.595796326
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Dokdonia	4.245394247	3.78839039	3.444139423	4.123316726	4.346185573	3.806039567	3.534299077	3.369157019	2.933390881	3.632393957	3.413488125
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Winogradskyella	3.716990894	3.950248784	3.417334993	4.20963444	3.555869165	3.472642152	3.528556474	3.418691863	3.952815579	3.54223275	3.330157202
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aquimarina	3.584962501	4.178714947	3.376170796	3.945437068	3.846693312	3.308088729	3.898701548	3.378128184	3.547143915	3.361632212	3.314475086
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides	3.185866545	3.281497803	3.325812142	3.36550299	3.303815562	3.552710509	3.463831516	3.025274055	3.107374514	3.021024411	2.944439334
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Muricauda	3.636141225	3.326289946	2.961567299	4.250240646	4.393481109	3.899168824	3.520863938	3.634716166	3.442462787	3.9293058	3.787472716
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea	3.884272293	3.213974638	2.874470578	3.880911853	4.627827855	3.994634673	3.471833384	3.197335558	2.723842129	3.76278889	3.416429487
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga	3.242856524	3.903716754	2.874470578	3.326746802	3.566225772	2.98476616	3.316097385	3.041176038	2.902670061	3.1336391	3.084169552
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Lacinutrix	3.041476636	3.361148557	2.811816765	3.0313546	2.479049914	2.670694409	2.890040334	2.448938554	2.436325194	2.642889886	2.076697886
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Algibacter	3.177917792	3.321872797	2.731887113	3.593744494	3.846693312	2.24742634	2.934146609	2.534882727	2.688259151	3.064859764	2.990563239
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Antarcticibacterium	3.129283017	2.697927906	2.493224879	3.921360264	3.724867082	3.780401561	3.374886088	3.043433509	2.915549996	3.111808444	3.117085385
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Arenibacter	1.476813697	1.819547559	2.414087749	2.313347407	2.310638287	1.545063842	1.47490828	1.571560061	2.208296626	2.025398309	2.000341139
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Salegentibacter	2.424026283	2.291076696	2.327159972	2.81319122	2.33506959	2.465362601	2.525063377	1.854709314	2.117574392	2.043961887	1.851806285
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mariniflexile	2.258016331	1.748915386	2.301330107	1.687929142	1.209940577	2.34559794	2.305348025	1.66835009	1.291908379	1.37564184	0.976507597
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroflexus	2.733354341	2.731619554	2.217495565	2.972314542	3.17778103	2.015938056	1.863465053	1.818259378	1.51140893	2.485420036	2.17723202
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Olleya	2.227535725	2.550925199	2.2001278	2.334339532	1.875357836	1.637724577	2.01900332	1.656600546	1.603432387	1.792748061	1.890398109
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavivirga	1.707819249	2.921671046	2.153968073	1.595312765	1.196669441	1.436692308	2.227141754	1.520615743	1.603432387	1.830663166	1.054102642
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Altibacter	2.03562391	1.874871221	1.93628383	2.0659884	1.518037468	2.305073691	2.282782961	1.775442483	1.434747788	1.308133266	1.5481997
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Kordia	2.20685157	2.602822966	1.889375543	1.92087634	2.154666914	2.289578741	2.245928273	1.870053143	1.859488817	2.372450563	1.894623054
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Urechidicola	2.137503524	2.188058524	1.786070769	1.759519101	1.89192073	1.379292593	1.78214062	1.915129136	1.524920003	1.360910564	1.510156183
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Tamlana	2.029747343	2.322370402	1.757859358	2.209238177	2.168328254	1.835637804	2.212889561	1.812976246	1.259946437	1.605479274	1.626492673
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Seonamhaeicola	1.670538232	1.922327695	1.743544044	2.51067194	1.883663052	1.500894005	1.807655276	1.632810431	1.799608097	2.225689174	2.061746421
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Amniculibacterium	1.963474124	1.708879656	1.733920973	2.133414322	1.807136626	2.446855877	2.353782741	1.753547883	1.210635306	1.253351692	1.510156183
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aureitalea	1.807354922	2.569675155	1.7144801	2.02137993	1.753766567	2.159236487	2.077857471	1.802351584	1.760166038	1.481577879	1.705572101
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Zobellia	1.807354922	2.050664208	1.628802751	2.638541967	1.883663052	2.528328195	1.963332802	1.812976246	1.848784655	2.2010881	1.785099921
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Costertonia	1.821029859	1.762017485	1.607881785	2.586997397	2.663994005	2.71390092	2.255230584	2.095657292	2.324881705	2.365087417	2.102495798
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Zunongwangia	1.647698256	2.295588999	1.575920256	2.740352436	2.322905655	1.938571859	1.875579399	1.775442483	2.566151805	2.693739555	2.512986797
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gillisia	2.011972642	1.80695989	1.515419188	1.827723912	1.57042486	2.083387482	1.980260672	1.467806428	1.251844073	0.923164348	1.590483996
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Leeuwenhoekiella	2.30256277	1.646662539	1.515419188	3.044152845	2.68790319	1.918564211	1.887592867	1.632810431	1.427572292	1.776188653	1.671506933
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Euzebyella	1.647698256	1.442085186	1.492774182	2.034266571	2.055234183	2.991166415	2.318719574	1.474514278	1.538305715	1.835999175	1.64165402
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Croceibacter	1.359895945	1.813267453	1.487056954	2.578224707	2.347131824	1.473728067	1.974640089	1.94441591	1.932273394	2.257851345	1.785099921
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Wenyingzhuangia	1.786596362	2.277454484	1.481316978	1.975348025	1.611006821	1.842733331	1.99699222	1.565289536	1.323177545	1.580264405	1.499099766
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gilvibacter	1.932313192	1.287569928	1.446389109	2.501421106	2.589792929	2.142083466	1.611556643	1.759052763	2.113108656	2.098261082	2.084115911
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Oceanihabitans	1.292781749	1.458274948	1.422625054	1.72018624	2.329000442	1.977773502	1.832726526	1.638794839	1.737133927	1.84131552	1.984572574
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Muriicola	1.758445322	1.241539702	1.398462992	2.700486204	2.899271483	2.340594223	1.78214062	2.028869593	2.436325194	2.308632329	2.353320805
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flagellimonas	1.906890596	1.603641982	1.392358715	1.927798842	2.495400378	1.613037905	1.537243811	1.558991637	1.259946437	1.923816005	1.838709479
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Lutibacter	1.685566442	2.212126061	1.317018808	1.577815476	1.39561694	1.408277898	1.582289229	1.759052763	1.376318975	1.501862626	1.303257045
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Sediminicola	1.387730153	1.124678137	1.223841514	1.728139068	1.430047698	1.35964039	1.094438887	1.202855906	1.202250396	1.253351692	1.204615969
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mesoflavibacter	1.36923381	1.93395185	1.210025269	2.528997534	2.105807011	1.814139405	1.647325232	1.319217801	1.497770127	1.776188653	1.785099921
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Siansivirga	1.36923381	1.632464417	1.14616057	2.344722151	2.353125331	1.027348998	1.49074648	1.326651478	1.777201984	2.01131717	1.734143988
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroserpens	1.222392421	1.551774204	1.14616057	0.934048953	0.398054023	0.611584727	1.145357669	0.717674656	0.797154822	0.753076386	0.715020517
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Galbibacter	1	1.392396416	1.101957348	1.419841148	1.085862095	1.002219775	0.975659039	0.794738852	0.862466484	0.902968105	0.55339853
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Changchengzhania	1.854660637	1.482223956	1.086916761	1.359681291	1.287101557	1.473728067	1.482849115	1.412990357	1.405829156	1.075297796	1.315913955
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium	6.988116585	7.167899869	6.605558219	7.407491222	7.38263158	6.991291137	7.031642762	6.499218584	6.680473011	6.882515738	6.691359388
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Kaistella	3.498250868	3.544825999	3.251882531	3.665904153	3.882358148	3.447263262	3.562674142	3.085667644	3.280648756	3.234059932	3.365591993
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Planobacterium	3.955746762	3.58777069	2.81866131	3.879127238	4.264272155	3.263840791	2.925432569	3.013807216	2.673169924	3.775341785	3.536198127
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Epilithonimonas	2.455053178	2.91582099	2.461506006	3.529209206	3.516355958	2.360505797	2.547952819	2.328222508	3.00985157	2.658032614	2.624024013
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Elizabethkingia	4.977279923	4.918986622	4.317104204	5.349016186	5.184830186	4.454431839	4.550275763	4.176324748	4.240717546	4.578602126	4.386014169
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Empedobacter	3.005998741	3.709429294	3.064967561	3.313593204	3.150508744	2.939151271	3.163892045	2.82987739	2.841894773	3.067130402	2.827767988
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Apibacter	2.966553517	3.393080844	2.902660039	3.522365365	3.863586642	3.343536009	3.40862595	3.004567669	3.242312313	3.16789527	3.131476997
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Riemerella	2.212050477	2.335576948	2.254984258	3.0313546	2.761853975	2.814770999	2.509599473	2.248279838	2.784075614	2.376118092	2.264700778
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Ornithobacterium	2.913288367	2.300087234	2.203618119	3.403245222	3.291384085	3.380572956	3.042884887	2.389842762	2.370497229	2.782089027	2.736567889
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Cruoricaptor	2.44625623	1.979533923	1.927867713	3.352699595	3.083592828	3.092866409	2.715697388	2.42489743	2.5196691	2.327697213	2.344082026
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Weeksella	1.963474124	1.528961315	1.565107102	1.934688286	1.474713289	1.482840335	1.482849115	1.022365524	0.984837502	1.46100385	1.303257045
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Bergeyella	1.40599236	1.008545653	1.257814107	1.812843502	2.140874973	2.034648294	1.279052929	1.807673696	1.168214764	1.938773063	1.436726776
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Cloacibacterium	1.493988841	2.103088726	1.174894455	1.663254012	1.858602581	0.707987631	1.450820115	1.596373121	1.51140893	1.660651291	1.585265739
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Blattabacteriaceae|g__Blattabacterium	4.894817763	5.382157138	4.752570893	5.357372553	5.03349998	4.471698457	4.975859507	4.524635342	4.635771717	4.754450787	4.620895259
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Schleiferiaceae|g__Croceimicrobium	2.568842835	2.240486939	2.02180987	3.413145262	3.571376328	3.03828414	2.446031017	2.760217104	2.800833172	2.809472222	2.646745242
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Schleiferiaceae|g__Owenweeksia	2.527737632	2.108227907	2.001901635	3.044152845	3.1573753	2.350584361	2.478165338	2.379158088	2.229081565	2.664045481	2.499180231
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Crocinitomicaceae|g__Fluviicola	2.401448435	2.163582663	1.689804717	2.275859764	2.516916679	1.613037905	1.743002081	1.348725416	1.070252031	2.080387467	1.595683446
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|g__Candidatus Sulcia|s__Candidatus Sulcia muelleri	1.450661409	1.838225499	1.223841514	2.027837639	1.085862095	1.076331256	1.749599351	0.966359046	0.728745684	1.253351692	0.944262035
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Ichthyobacteriaceae|g__Ichthyobacterium	1.159198595	1.124678137	0.83118459	1.871465839	1.841650444	1.014839099	0.870630867	0.857668015	0.883596118	1.212907965	1.106038179
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter	7.611639626	6.607282105	6.895983733	7.666084632	7.97269971	8.219592308	7.636865068	7.283698856	6.558702617	7.344997258	7.032556995
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter	5.855491443	5.109141406	5.106331903	6.268855682	6.333118868	6.079873066	5.636814246	5.311445929	5.105871108	5.796157033	5.448426014
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Rufibacter	4.403722186	3.960230652	3.57251475	4.65352663	4.871740529	4.657199363	4.184512107	4.111098812	3.865240194	4.325223493	4.208187298
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Adhaeribacter	2.733354341	2.877206228	2.535383841	3.172095455	3.358468486	3.044451819	2.939926865	2.33561005	2.80913952	2.667042543	2.729489722
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Nibribacter	2.604862058	1.910609121	2.146733639	3.18948078	2.84926116	2.987969837	2.486088314	2.452340528	2.468146038	2.645931174	2.671578335
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Spirosoma	6.195085075	5.478570041	5.454237692	6.517971361	6.755320358	6.373616368	6.042123632	5.949949909	5.504441546	6.147897964	5.807521581
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Runella	4.144318345	3.374006409	3.603230245	4.547406806	4.785725829	4.134189132	3.655176857	3.522675488	3.493177299	4.042104699	3.797660715
