Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|s__Isorropodon fossajaponicum symbiont	0.00221304	0.000295462	0.000907382	0.002646719	0.001559952	0.001265856	0.00049851	0.000416066	0.000296581	0.001002363	0.000700046	0.000746916	0.000299683	0.001659713	0.002070133	0.00141632	0.000480266
d__Eukaryota|k__Metazoa	12.10401974	18.68632882	26.74202472	1.131888944	17.89368119	30.05846722	9.697736765	7.256958663	3.090030447	12.30754481	8.345478505	9.294524609	5.314852583	7.050870002	3.021382637	3.886316743	7.456157542
d__Archaea|p__Euryarchaeota	0.147525611	0.072272481	0.170675026	0.113196246	0.059593156	0.067454796	0.110263029	0.087309844	0.068250756	0.07592016	0.113312893	0.106655748	0.098134612	0.12723163	0.12931433	0.130601839	0.107223213
d__Archaea|p__Crenarchaeota	0.024421364	0.011278926	0.039593256	0.012596421	0.006959785	0.010932395	0.021343614	0.01052967	0.008464923	0.009280703	0.021550073	0.013655153	0.011434054	0.015581774	0.012581811	0.018626749	0.017785327
d__Archaea|p__Thaumarchaeota	0.013231486	0.006692848	0.023208034	0.007572557	0.004559859	0.007691036	0.01379211	0.006080964	0.005091311	0.005790121	0.012033228	0.008196922	0.006639128	0.010231641	0.009108587	0.010686776	0.011015129
d__Archaea|p__Candidatus Thermoplasmatota	0.005220904	0.00421354	0.007346303	0.006641304	0.004829851	0.004775731	0.00492971	0.003568566	0.002236717	0.00479955	0.003802954	0.004175068	0.003711457	0.007127002	0.004393283	0.007231814	0.004167468
d__Archaea|p__Candidatus Lokiarchaeota	0.001589648	0.001143308	0.002757045	0.002328132	0.000599981	0.001937144	0.00210482	0.001440228	0.00065495	0.001391516	0.002440702	0.001991775	0.000922101	0.002967957	0.002208142	0.001974264	0.00151826
d__Viruses|p__Uroviricota	0.033709898	0.012563542	0.033538227	0.015586234	0.00904472	0.013310671	0.019977327	0.017714809	0.0108005	0.012688738	0.017482236	0.01861544	0.013647097	0.01806158	0.019275242	0.018369237	0.017893774
d__Viruses|p__Peploviricota	0.002072777	0.001181846	0.004362412	0.00044112	0.000239993	0.00053703	0.002861817	0.000512081	0.000827956	0.000778305	0.001929857	0.00158959	0.001337047	0.001073932	0.000966062	0.001480698	0.001642199
d__Viruses|k__Pararnavirae	0.020119962	0.042764858	0.042542246	0.00014704	0.039658773	0.068739832	0.006277533	0.014802347	0.002273789	0.026085026	0.003954315	0.014689344	0.005232924	0.01058311	0.003128202	0.000901294	0.006429365
d__Viruses|k__Orthornavirae	0.004192308	0.002068231	0.006264424	0.00080872	0.000599981	0.00105488	0.003471107	0.001056167	0.00181656	0.001450478	0.005070605	0.002221596	0.001982517	0.002440754	0.001725111	0.00315453	0.0043069
d__Viruses|k__Bamfordvirae	0.016613385	0.008851002	0.034655005	0.003970078	0.002084935	0.004334599	0.024168504	0.003312525	0.006537145	0.004540115	0.018693127	0.011529316	0.009313221	0.005232977	0.005152332	0.009806941	0.012874222
d__Viruses|f__Baculoviridae	0.003974121	0.004586078	0.00797449	0.005587518	0.004304867	0.003548234	0.005225123	0.002112335	0.001396403	0.002417464	0.003046147	0.003045118	0.001175679	0.004002837	0.001012065	0.006588032	0.004322392
