Treatment_Group,Control,Control,Control,DSS,DSS,RCE,RCE,RCE,RCE+DSS,RCE+DSS,RCE+DSS
Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Winogradskyella,729,943,870,961,508,574,687,752,1080,808,833
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aquimarina,660,1116,843,791,632,506,907,729,797,704,823
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides,486,569,811,511,419,610,654,554,568,540,616
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Muricauda,686,589,610,990,945,791,683,886,736,1080,1178
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea,826,540,569,754,1120,849,658,634,418,954,890
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga,508,911,569,496,512,393,584,561,483,590,688
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Lacinutrix,434,605,541,394,216,305,418,346,329,398,296
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Algibacter,483,587,507,608,632,213,433,372,406,559,639
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Antarcticibacterium,465,358,416,777,577,724,611,562,488,580,706
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Arenibacter,107,165,389,218,187,109,116,153,270,233,276
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Salegentibacter,262,254,361,331,191,257,310,203,249,237,240
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mariniflexile,227,154,353,122,62,232,257,169,108,121,89
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroflexus,339,368,328,376,380,173,172,196,138,349,324
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Olleya,221,317,323,222,126,120,199,167,152,187,249
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavivirga,136,429,310,111,61,97,240,145,152,194,99
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Altibacter,186,174,254,175,88,224,252,188,127,112,177
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Kordia,217,331,243,153,163,221,244,206,196,317,250
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Urechidicola,204,232,220,131,128,91,159,215,140,119,170
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Tamlana,185,261,214,199,165,146,237,195,104,155,192
