Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides coprosuis	0.01658103	0.018977906	0.015633914	0.064985248	0.031231919	0.026317415	0.027455723	0.044770509	0.032360351	0.029002295	0.026257947	0.024883819	0.031038269	0.041865464	0.025414043	0.048101153	0.033219028
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes shahii	0.384285945	0.269101388	0.241613074	0.807428567	1.219026145	0.945345087	0.597911414	0.888205002	0.415415826	1.142295594	1.066274273	1.665674205	0.601558692	0.780624176	0.436449439	1.35304362	0.613460257
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes communis	0.374480192	0.27446777	0.253100978	0.738905039	0.564514577	0.658614247	0.626295017	0.624520812	0.391399028	0.733868381	0.777486023	1.488428181	0.588597312	0.65309594	0.196651287	0.648629618	0.522092031
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes dispar	0.363094263	0.246352933	0.223668623	0.649817446	0.728581225	0.836386915	0.541739004	0.591081903	0.314030032	0.920946247	0.952366903	1.604753412	0.453397247	0.701312675	0.204182485	0.69231512	0.518085397
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes finegoldii	0.341123315	0.239202972	0.205076358	0.593134895	0.609447023	0.698282715	0.516234207	0.521681199	0.335786426	0.699350134	0.858595544	1.459979206	0.523005823	0.612977076	0.201422046	0.658020234	0.488343026
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes megaguti	0.326901726	0.232631891	0.213195628	0.683833982	0.630111042	0.644742729	0.504457272	0.625162224	0.327210185	0.794732556	0.806005891	1.349218508	0.481736536	0.626711701	0.208143116	0.663289577	0.481262518
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes onderdonkii	0.323654788	0.228798761	0.200973535	0.602768827	0.60848459	0.727994466	0.499199287	0.548877038	0.334490018	0.713081951	0.798162927	1.375716283	0.496831994	0.615358803	0.228336328	0.68460245	0.488703411
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes indistinctus	0.092516089	0.082607868	0.075319189	0.793941063	0.121474237	0.117738187	0.119744067	0.30171988	0.126449692	0.122570259	0.161948595	0.207935264	0.194609007	0.1659005	0.092054646	0.184279813	0.169232609
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes sp. dk3624	0.070675019	0.052427834	0.05625186	0.17158908	0.091317979	0.095561861	0.102066769	0.119794252	0.089851083	0.104686962	0.112678065	0.191723444	0.145901834	0.141448106	0.089054169	0.166970463	0.113415315
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri	0.23789233	0.359015671	0.3715214	0.655177415	0.484802416	0.323638583	0.356377186	0.286646714	0.205863024	0.196948517	0.140239075	0.243297749	0.160369622	0.485713477	0.059409452	0.651897199	0.330981926
