Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium	0.13736715	0.097066594	0.155946053	0.282995973	0.143913933	0.141245232	0.139234394	0.186172225	0.128564611	0.130877919	0.145327236	0.153599272	0.160465807	0.215238728	0.209864845	0.226512476	0.164386855
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Polaribacter	0.055122065	0.030562496	0.076623565	0.053719875	0.024078793	0.036605599	0.050491377	0.039583224	0.024906501	0.028754149	0.045762446	0.040789163	0.031957811	0.046807089	0.0411275	0.050537027	0.042913374
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga	0.052932007	0.041833006	0.045770795	0.110181959	0.065875633	0.051081357	0.053870567	0.090176352	0.067871539	0.05333228	0.068988816	0.063103477	0.096650445	0.094787616	0.076703423	0.095244689	0.074190075
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Nonlabens	0.022945065	0.021125466	0.026471639	0.042065487	0.026001809	0.019064147	0.023182811	0.025602395	0.021389978	0.016628602	0.019307935	0.020435866	0.023435728	0.032486815	0.020270891	0.04132901	0.027475945
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella	0.020552848	0.017566357	0.019816758	0.04354628	0.022205085	0.021358342	0.019508925	0.030338401	0.021852679	0.01934553	0.022840618	0.02155055	0.030378719	0.036072316	0.031985226	0.034381358	0.02705736
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Tenacibaculum	0.018211171	0.011135695	0.024419717	0.021361808	0.01086422	0.01488181	0.018192613	0.01759837	0.010919729	0.011886558	0.023815151	0.015977132	0.020528194	0.016471576	0.015559692	0.019724668	0.017630817
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Maribacter	0.018025859	0.013670212	0.020611646	0.032961353	0.01832618	0.016566927	0.019823268	0.019992587	0.013497632	0.014037459	0.01457739	0.018867052	0.013710527	0.026206755	0.020474619	0.031954439	0.01823358
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Formosa	0.016796057	0.007468735	0.016193545	0.020319769	0.008612483	0.009724948	0.012652314	0.01574591	0.010999049	0.012314222	0.014252545	0.015316578	0.013986242	0.019166134	0.023021213	0.015798769	0.015253252
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aequorivita	0.016290659	0.010138066	0.011664528	0.02610583	0.015729287	0.01136946	0.012632668	0.017406133	0.013299331	0.012465163	0.012181663	0.014181253	0.016868711	0.022164917	0.020525551	0.023579187	0.01553789
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Dokdonia	0.014959778	0.014533026	0.015454113	0.024734726	0.015006101	0.013683957	0.013713222	0.013019648	0.014528793	0.010993494	0.014008912	0.014945017	0.018497933	0.019296516	0.012605642	0.020581228	0.020895783
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Winogradskyella	0.014656539	0.009827993	0.017432092	0.026352629	0.008349506	0.011978538	0.014184737	0.017283801	0.010086869	0.012213595	0.013948004	0.015523001	0.014387281	0.018101349	0.02750322	0.019225009	0.016107166
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aquimarina	0.014201681	0.008897771	0.020630132	0.021690874	0.010387575	0.012425195	0.015599282	0.012163322	0.010205849	0.011697882	0.018414613	0.015048229	0.012682864	0.017884046	0.020296357	0.016750502	0.015320225
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides	0.01366259	0.006551995	0.01051841	0.014012688	0.006886699	0.008466187	0.010844841	0.012006038	0.010721429	0.008163361	0.013278012	0.011435828	0.015289619	0.013385871	0.014464656	0.012848397	0.013846805
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Muricauda	0.010276424	0.009248289	0.010888125	0.02714787	0.015532054	0.01433364	0.013025597	0.021513002	0.013629832	0.014528015	0.013866793	0.018289068	0.019826375	0.025598306	0.018742935	0.025696794	0.014349107
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea	0.009585714	0.011135695	0.009982322	0.020676256	0.018408361	0.011470973	0.011611052	0.018996453	0.012426811	0.009622451	0.013359223	0.013087211	0.021280142	0.019339977	0.010644765	0.022698834	0.015738811
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga	0.009585714	0.006848587	0.016840547	0.013601357	0.008415251	0.010313724	0.01090378	0.012757507	0.008606227	0.008414928	0.011856818	0.011580324	0.009850525	0.014950454	0.012300051	0.014038063	0.011134371
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Lacinutrix	0.009114009	0.005850959	0.011183898	0.010804304	0.003550184	0.007227728	0.008113984	0.00767198	0.005406985	0.004830093	0.008486558	0.007142232	0.00764481	0.006432172	0.008378296	0.009469744	0.008857267
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Algibacter	0.008541225	0.006511551	0.010851154	0.016672631	0.010387575	0.007999227	0.008271156	0.010695335	0.004812084	0.0070942	0.0087911	0.007678931	0.005338834	0.013885669	0.010339173	0.01330047	0.008271247
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Antarcticibacterium	0.007008184	0.006268884	0.00661791	0.021306964	0.009483593	0.00755257	0.009391003	0.015641053	0.010985829	0.008930641	0.012404993	0.011600966	0.018147023	0.015341599	0.012427381	0.01380013	0.011887825
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Arenibacter	0.006553326	0.001442517	0.003050154	0.005978016	0.003073539	0.002740852	0.002082524	0.004299105	0.002181302	0.003396159	0.002355121	0.00315827	0.00273208	0.005997566	0.006875805	0.005543845	0.002310591
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Salegentibacter	0.006081621	0.003532145	0.004695389	0.009076712	0.003139283	0.00381689	0.005186663	0.006273897	0.005340885	0.004540791	0.006293859	0.004190385	0.006441692	0.005215275	0.00634102	0.005639019	0.006613649
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mariniflexile	0.005946849	0.003060294	0.00284681	0.003345495	0.001019034	0.001177551	0.003300604	0.00277869	0.003410763	0.001962225	0.005217812	0.003488547	0.005815068	0.001933998	0.002750322	0.002878993	0.004956051
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroflexus	0.005525684	0.004570219	0.006802768	0.010310706	0.006245694	0.005887756	0.005088431	0.005941853	0.003529743	0.00408797	0.003492077	0.004045889	0.004336236	0.007040621	0.0035143	0.008303871	0.004621183
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Olleya	0.005441451	0.002979405	0.005859993	0.006087704	0.002070941	0.004162034	0.004479391	0.006256421	0.002881962	0.002213793	0.004040251	0.003447262	0.003007794	0.005410847	0.003870823	0.004449352	0.003499374
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavivirga	0.005222445	0.00183348	0.0079304	0.003043852	0.001002598	0.00101513	0.004282926	0.002446645	0.001454201	0.002100587	0.004872665	0.002993132	0.0024313	0.002151301	0.003870823	0.004615906	0.004169111
