Treatment_Group,Control,Control,Control,DSS,DSS,RCE,RCE,RCE,RCE+DSS,RCE+DSS,RCE+DSS
Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus Reidiella,127,80,114,127,118,197,205,242,108,185,184
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Thiolapillus,64,86,105,53,26,84,61,73,103,59,101
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales,262,562,374,159,121,112,278,279,256,225,248
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales,206,199,259,361,347,243,211,297,297,394,381
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales,165,117,240,216,228,230,163,289,297,254,324
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales,114,135,183,104,83,112,126,157,167,131,178
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|s__endosymbiont of unidentified scaly snail isolate Monju,84,89,110,54,78,125,95,96,65,101,105
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales,79,70,98,164,81,145,85,97,279,209,260
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,201887,59802,131570,98841,39717,311543,315870,146499,60779,293764,134890
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales,4941,4422,6415,4373,4511,4864,5167,5582,5851,5727,7427
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales,2751,2731,3692,2196,2219,2513,2486,3082,2780,2877,3888
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales,2081,1592,2569,1661,1750,2646,2214,2618,2361,2509,2921
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Candidatus Kinetoplastibacterium,182,499,371,229,106,119,259,290,282,236,247
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales,24969,22853,34154,21881,22023,27430,26213,30365,27414,31118,36659
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales,9475,7275,11849,7583,7867,12329,10505,11826,8920,10599,12059
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales,7609,6851,11037,7085,7479,8155,7769,9796,9490,9803,12370
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales,6683,6498,9768,5800,5875,7395,7439,8858,8249,8342,11173
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales,1759,3798,2992,1561,1224,1383,2926,2845,2886,2539,2793
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales,1663,1254,2352,1496,1426,2087,2128,2380,2125,2255,2682
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales,395,1021,688,463,278,298,779,726,749,630,632
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Phreatobacter,274,205,295,168,135,147,206,232,203,241,320
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Micavibrio,38,69,134,119,76,57,87,104,113,92,160
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Candidatus Puniceispirillum,46,36,45,35,40,89,90,65,64,87,84
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales,425,381,467,604,458,440,444,485,596,563,692
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales,236,166,358,288,216,207,243,353,397,313,484
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales,314,409,350,289,199,220,418,469,520,357,504
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales,156,186,298,190,259,252,273,293,280,242,347
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales,46,79,90,94,66,36,87,112,197,86,162
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales,37,126,89,44,63,59,69,92,90,93,114
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales,100,40,68,48,64,54,63,75,78,94,102
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales,360,473,616,326,221,314,382,481,539,382,582
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales,231,471,310,234,178,135,229,171,248,233,293
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales,59,187,104,94,66,65,75,80,81,151,201
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales,594,526,592,461,569,327,363,553,424,709,688
d__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales,202,151,269,181,182,196,136,195,182,217,299
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales,34384,38302,61019,42062,11803,4585,21827,15611,30941,37574,34368
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales,5405,8251,9893,5417,4714,5046,6687,6967,8950,8318,9314
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales,1027,1501,1252,597,705,658,952,988,936,864,1146
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales,1821,1732,2557,1747,1749,1937,1708,2105,2145,2261,2519
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales,1791,1536,2047,1309,1572,1952,1622,1923,1525,1780,1903
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales,884,682,982,494,608,904,715,936,705,868,1013
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales,475,384,595,419,498,475,464,602,512,690,700
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Sedimentisphaerales,569,539,826,364,346,693,645,617,486,486,695
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales,127,124,247,140,130,108,142,155,135,252,140
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Tepidisphaerales,56,57,152,58,31,153,159,152,95,72,75
d__Bacteria|p__Planctomycetes|c__Candidatus Brocadiae|o__Candidatus Brocadiales,81,153,157,56,44,139,102,58,61,91,89
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,3009,2059,2762,4170,3816,4061,3549,3782,2733,4462,4441
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales,1466,1052,1142,1333,1508,1229,1041,1299,715,1482,1539
d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales,110,96,133,47,63,80,92,101,153,100,121
d__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales,352,506,476,307,327,135,296,400,479,434,490
d__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales,303,566,462,251,217,238,401,345,407,427,438
d__Bacteria|p__Candidatus Omnitrophica|g__Candidatus Vampirococcus|s__Candidatus Vampirococcus archaeovorus,39,77,195,41,57,30,31,82,142,68,157
d__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales,103,80,172,148,38,134,167,162,121,155,148
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales,5451,10355,8324,6695,3281,2535,5345,5442,5794,5397,6186
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales,801,1364,1547,1020,702,783,1040,1187,1247,1190,1432
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales,572,882,1041,741,441,429,670,664,735,851,981
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales,175,182,404,217,136,224,275,368,316,278,379
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales,1596,1306,1655,1299,1549,1318,1238,1742,1087,1745,1887
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales,271,227,479,306,326,448,397,404,428,502,459
d__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae,169,140,150,160,162,85,125,182,98,162,227
d__Bacteria|p__Acidobacteria|c__Holophagae|o__Thermotomaculales,60,104,96,42,23,70,85,70,76,106,85
d__Bacteria|p__Acidobacteria|c__Blastocatellia|g__Chloracidobacterium,60,51,77,54,76,102,123,145,84,101,109
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales,1165,1321,2284,788,727,980,1008,1368,2399,1652,2498
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales,860,2163,1280,808,643,630,1532,2052,2353,1282,3064
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales,485,1135,759,539,353,288,524,639,932,745,1063
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales,76,96,99,81,53,77,103,199,288,110,194
d__Bacteria|p__Candidatus Saccharibacteria|g__Candidatus Saccharimonas|s__Candidatus Saccharimonas aalborgensis,589,267,241,608,612,219,344,983,168,1313,1223
d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharimonia|o__Candidatus Nanosynbacterales,505,198,205,412,479,175,238,743,118,978,774
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales,272,523,604,306,175,291,335,304,437,445,526
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales,274,311,464,383,291,296,306,357,438,384,447
d__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia|o__Thermodesulfovibrionales,138,171,136,136,186,102,148,253,251,305,355
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales,92,112,227,120,123,75,154,191,244,243,325
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales,59,80,86,98,92,31,75,66,98,79,89
