Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria flava,1.1472514560893834e-05,3.2855401967850833e-06,5.614389074571612e-06,3.012793160539136e-05,1.5474425115671328e-05,9.504139618526465e-06,8.565043535402537e-06,1.1331599812365812e-05,1.27978789427024e-05,1.6983325857766822e-05,1.745612611682328e-05,1.7584886825595502e-05,2.3537615777609074e-05,2.9109993699009547e-05,2.7904439596339777e-05,2.14894989944092e-05,1.1659518321979082e-05
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter halophytocola,1.277128979420257e-05,6.101717508315155e-06,9.717211859835482e-06,3.117890596371897e-05,1.4719575110028825e-05,3.1680465395088215e-06,7.375454155485518e-06,1.5180067673169294e-05,1.3462703822842785e-05,1.349956670745568e-05,1.1309602836251703e-05,1.348977619497737e-05,2.573445991685259e-05,1.7995268832114992e-05,1.6802673305322876e-05,2.237262909006985e-05,1.6535316892988518e-05
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus luteus,2.3594416738442035e-05,1.2829252196970325e-05,1.4683786810418061e-05,9.108444438839248e-06,7.548500056425038e-06,9.504139618526465e-06,1.3323401055070612e-05,1.582147898330321e-05,1.362891004287788e-05,1.4951133020085323e-05,1.4014073079703196e-05,1.18035541706052e-05,2.698979942499174e-05,4.445889946757821e-05,4.950787670318348e-05,2.9732046553908616e-05,2.0775141737344548e-05
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Paenarthrobacter|s__Paenarthrobacter sp. YJN-D,1.6884078033013566e-05,1.6427700983925417e-05,1.1228778149143223e-05,8.407794866620845e-06,3.774250028212519e-06,6.562382117553988e-06,1.7843840698755286e-05,2.8008293875847573e-05,2.476472678522932e-05,1.0451277450933429e-05,2.360264939739486e-05,1.8789331128718482e-05,1.9771597253191623e-05,1.8524541444824256e-05,1.6502625567727826e-05,1.4424458229123982e-05,3.4554572481501645e-05
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Nesterenkonia|s__Nesterenkonia sp. NBAIMH1,2.0563941194054988e-05,1.3924432262565353e-05,2.4185060628923865e-05,1.4363316230477276e-05,1.1700175087458808e-05,7.467538271699365e-06,1.4750908310971036e-05,1.2400618662589001e-05,9.141342101930286e-06,1.1757687132300108e-05,1.7947847979269007e-05,2.4329774923084188e-05,1.6633248482843745e-05,4.1018627484968e-05,4.470711290166265e-05,2.237262909006985e-05,2.395501037061157e-05
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Neomicrococcus|s__Neomicrococcus aestuarii,1.7966390727437513e-05,8.448531934590215e-06,1.4035972686429028e-05,9.108444438839248e-06,1.490828761143945e-05,1.5161365581935075e-05,1.3561318931054017e-05,2.3090807164820897e-05,1.6786828223544707e-05,1.4225349863770501e-05,9.588576317691661e-06,1.7343997964970905e-05,1.5691743851739383e-05,2.9903902618073442e-05,2.7604391858744728e-05,2.8848916458247963e-05,2.119912422178015e-05
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Psychromicrobium|s__Psychromicrobium lacuslunae,1.3637139949741728e-05,1.0951800655950277e-05,1.058096402515419e-05,1.2611692299931266e-05,1.0190475076173802e-05,8.146405387308398e-06,1.498882618695444e-05,1.1973011122499725e-05,1.412752870298317e-05,1.248347028861493e-05,1.180132469869743e-05,2.8424885553702316e-05,1.9457762376156833e-05,1.773063252576036e-05,1.0501670815826798e-05,2.0900745597302096e-05,2.9042800183838807e-05
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium linens,2.0563941194054988e-05,2.080842124630553e-05,2.116192805030838e-05,2.3471760669316522e-05,1.396472510438632e-05,1.5161365581935075e-05,2.4267623350307186e-05,2.1594180774508434e-05,2.609437654551009e-05,1.6983325857766822e-05,2.483195405350917e-05,3.300177390556964e-05,1.7574753113948108e-05,3.7578355502357775e-05,2.9404678284315035e-05,3.2970190237997675e-05,2.501496658170058e-05
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium casei,1.666761549412878e-05,1.3455069377310341e-05,1.0365025983824513e-05,2.3471760669316522e-05,1.1888887588869435e-05,7.0149601946266765e-06,1.4750908310971036e-05,2.0311358154240605e-05,1.3795116262912977e-05,1.3354410076192715e-05,1.819370891049187e-05,2.0957330874339845e-05,2.2282276269469925e-05,3.625517397058461e-05,2.4603914482794213e-05,2.9437669855355066e-05,2.9254791426056605e-05
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium saurashtrense,2.5109654510635563e-05,7.353351868995187e-06,1.2092530314461932e-05,1.0860068369385256e-05,6.416225047961282e-06,9.73042865706281e-06,1.379923680703742e-05,8.33834703174088e-06,8.144104781719709e-06,1.9160675326711286e-05,1.0080298180137388e-05,2.4329774923084188e-05,1.475023922063502e-05,3.7313719196003146e-05,3.060486923469524e-05,2.5610772774158907e-05,1.4839386955246105e-05
