Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Acidobacteria,0.038362580835995364,0.02772606544508304,0.03200578619890233,0.04575459882784814,0.03207379043012349,0.02813630022238425,0.0332461369153166,0.0377610363755042,0.03150523817861146,0.029548449190237965,0.037308740623574886,0.04886508023534987,0.04686394595809427,0.05423521503852187,0.04110248611323148,0.05620791255286412,0.04189816358271166
d__Bacteria|p__Synergistetes,0.035632425632132335,0.014974903219064323,0.02307840806154475,0.019332238003401787,0.010911392439260542,0.013857031896699474,0.018979312180116815,0.01896058823943892,0.016828347394462397,0.02351839426363589,0.019089954593179432,0.02622496263709636,0.02261283458342313,0.04883906530866172,0.055240820272068517,0.03549521083231327,0.020235789591206036
d__Bacteria|p__Deferribacteres,0.019969135205398156,0.011054434994330746,0.03778849101977388,0.01982290394257442,0.009650653835549557,0.01675510920473496,0.020531660985501247,0.013339670611024174,0.012562528253323877,0.014856828087264216,0.02901370083011001,0.039337443955644535,0.014536822232200585,0.05990508250830244,0.05418159654029897,0.02754531494372011,0.019274395756221537
d__Bacteria|p__Aquificae,0.013557170698039843,0.007249652717212257,0.021523541810615544,0.015235177411310292,0.006123587503739066,0.010767028939125215,0.010681638208478597,0.010841484998395396,0.006602746148892667,0.010974463956438222,0.011912283173720102,0.01608387693897942,0.008468275808281927,0.024615045325702602,0.02813850870048676,0.01837070536418151,0.010575332184829516
d__Bacteria|p__Candidatus Saccharibacteria,0.007956452308400828,0.016478820538060487,0.009381608727516677,0.029930622289530688,0.01903114939887533,0.05011178709457386,0.023377633795372707,0.054495677178049526,0.02147747202364525,0.03898884829255042,0.012726636395452956,0.03814888570747204,0.010268072846554382,0.04616054171086882,0.007368512916657744,0.05711033316724497,0.021863956569808822
d__Eukaryota|k__Metazoa,12.1165224000654,18.697728429294614,26.773835968598693,1.1331193866283227,17.904724482838272,30.07872214367132,9.706670756982566,7.262161519870504,3.091816254724549,12.315885666382433,8.353540656300517,9.303554709336163,5.319877004639323,7.059982114500824,3.0246824458765453,3.891173230594895,7.462850656771547
d__Archaea|p__Euryarchaeota,0.14767799519867106,0.07231657125361021,0.1708780539363885,0.11331929865191986,0.059629934196949286,0.06750025094278676,0.11036460792566466,0.08737244040065772,0.0682902003377045,0.07597161177585944,0.11342235918507106,0.10675936909794563,0.09822738451186967,0.12739605666582857,0.12945556130453073,0.13076504426480545,0.10731946341818925
d__Archaea|p__Crenarchaeota,0.024446589739733522,0.011285806889560924,0.039640354195037884,0.012610114636736697,0.006964079906213056,0.01093976202371011,0.021363276416957195,0.01053721880198548,0.008469814816463441,0.009286992616899872,0.021570891152412074,0.013668419853983703,0.011444863217732523,0.015601911175465192,0.012595551766911831,0.018650026030537482,0.017801292299390443
d__Viruses|p__Uroviricota,0.03374471831974704,0.01257120630750636,0.03357812285714536,0.015603176865689768,0.009050302119496707,0.013319640077990908,0.019995731040785194,0.017727509443461898,0.010806741824217586,0.012697336792610243,0.01749912504374781,0.018633526084252675,0.01365999803406785,0.018084922101886346,0.019296293200497465,0.01839219156928581,0.01790983676463063
d__Viruses|k__Pararnavirae,0.02014074496106955,0.04279094662340355,0.04259285303107199,0.00014719978175179024,0.03968324843109335,0.06878615279469656,0.006283316593222704,0.014812959562061656,0.0022751035419405446,0.026102703517893924,0.003958135426562005,0.014703615747553297,0.005237870867792909,0.01059678678834854,0.0031316179895795413,0.000902420614380846,0.006435136153525292
d__Viruses|k__Bamfordvirae,0.016630545413245653,0.00885640198964405,0.03469622892522928,0.003974394107298337,0.0020862222132836524,0.00433751967957629,0.02419076888390741,0.003314900139834338,0.006540922683079065,0.004543192067987866,0.01871118565283857,0.011540517183868428,0.009322025685411168,0.005239739592762747,0.005157959041660421,0.009819195732667776,0.012885778659227753
