feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X747	RCE_only	TRUE	0.787882976647832	0.247089841355456	12	3	0.0153053595663692	0.136056591092619
X1159	Sex	M	0.511649916061097	0.160576229416711	12	3	0.0153546780418568	0.136315643693541
X54	RCE_only	TRUE	-0.428984683441528	0.134793135192767	12	6	0.0154359687577077	0.136584238742341
X469	RCE_only	TRUE	-0.921425634561825	0.289995306513276	12	8	0.0155472165398291	0.136584238742341
X608	RCEwDSS_only	TRUE	-0.814428925983554	0.256124063274553	12	6	0.0154944860758881	0.136584238742341
X1550	RCEwDSS_only	TRUE	1.28709293193747	0.404822315674173	12	8	0.0155035429036417	0.136584238742341
X1863	RCE_only	TRUE	0.794463855877704	0.250007287068891	12	5	0.0155389598837055	0.136584238742341
X1910	DSS_only	TRUE	-0.76319308669385	0.240161329989368	12	6	0.0155373975629499	0.136584238742341
X1911	DSS_only	TRUE	-0.762928135095113	0.240087324691753	12	6	0.0155400801238774	0.136584238742341
X1986	DSS_only	TRUE	0.221629099699972	0.0697531442670801	12	12	0.015548218608222	0.136584238742341
X2017	RCEwDSS_only	TRUE	-0.845218464347645	0.266087081650568	12	6	0.0155668833380111	0.136584238742341
X682	RCEwDSS_only	TRUE	1.33890998309329	0.422547657867974	12	8	0.0157371937661767	0.136658716046645
X715	RCEwDSS_only	TRUE	0.908211849344576	0.286550090319247	12	12	0.0157194559493839	0.136658716046645
X728	RCEwDSS_only	TRUE	-0.69605454028222	0.219606848160193	12	5	0.0157177335400369	0.136658716046645
X839	Sex	M	-1.26506137241092	0.39846870700573	12	4	0.0156030298636384	0.136658716046645
X932	RCE_only	TRUE	-0.436258222844479	0.137562717908544	12	6	0.0156785445725131	0.136658716046645
X964	RCEwDSS_only	TRUE	-0.678021027343146	0.21383351124742	12	3	0.0156905857083726	0.136658716046645
X1568	RCE_only	TRUE	-0.502547326457298	0.158552987977856	12	2	0.015716911471256	0.136658716046645
X2044	RCE_only	TRUE	-0.436258222844479	0.137562717908544	12	6	0.0156785445725131	0.136658716046645
